location,date_updated,hotel_name,hotel_lat,hotel_lon,hotel_score,score_title,score_expe,url
Saintes Maries de la mer,2022-01-02,Mas De La Fouque - Hôtel & Spa,43.4670806,4.40451175,7.8,Bien  ,282,https://www.booking.com/hotel/fr/lodge-de-la-fouque.fr.html
Saintes Maries de la mer,2022-01-02,Le Mas De Cocagne,43.45831608,4.42523181,8.7,Superbe ,374,https://www.booking.com/hotel/fr/le-mas-de-cocagne-les-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel Restaurant Les Arnelles,43.46095608,4.42231894,8.3,Très bien ,259,https://www.booking.com/hotel/fr/les-arnelles.fr.html
Saintes Maries de la mer,2022-01-02,Vila De La Mar & Spa,43.45334531,4.43066597,8.2,Très bien ,447,https://www.booking.com/hotel/fr/bastide-blanche-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Auberge Cavaliere Du Pont Des Bannes,43.46542981,4.41963136,7.6,Bien  ,482,https://www.booking.com/hotel/fr/auberge-cavaliere-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel L' Estelle En Camargue,43.4703003,4.39530373,8.9,Superbe ,130,https://www.booking.com/hotel/fr/l-estelle-en-camargue-les-saintes.fr.html
Biarritz,2022-01-02,Sure Hotel By Best Western Biarritz Aeroport,43.4722079,-1.53489947,7.7,Bien  ,1,https://www.booking.com/hotel/fr/amaryshotel.fr.html
La Rochelle,2022-01-02,Ibis Styles La Rochelle Centre,46.1580159,-1.15397182,8.3,Très bien ,1,https://www.booking.com/hotel/fr/ibis-la-rochelle-centre.fr.html
La Rochelle,2022-01-02,Ibis La Rochelle Centre Historique,46.1612519,-1.1504209,7.8,Bien  ,1,https://www.booking.com/hotel/fr/ibis-la-rochelle-vieille-ville.fr.html
La Rochelle,2022-01-02,Kyriad La Rochelle Centre - Les Minimes,46.14630971,-1.1528939,8.0,Très bien ,2,https://www.booking.com/hotel/fr/kyriad-la-rochelle-centre-les-minimes-xml.fr.html
