city_id,date_updated,lat,lon,city_name,date,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641639600,77,9.67,85,0.78,1,4.81,1.07,0.7
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641726000,84,11.96,80,1,1,4.89,0.1,7.77
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641207600,70,1.88,92,0,0.93,10.43,9.36,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641294000,75,2.7,100,0.88,0.73,12.61,11.88,2.08
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641380400,99,3.08,100,1,0.33,4.46,3.34,13.53
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641466800,76,3.31,76,0.48,1.04,2.61,-0.2,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641553200,68,1.4,100,0.01,2,3.37,3.37,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641639600,81,2.15,86,0.22,2,3.07,3.07,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641726000,100,2.46,100,1,2,2.38,2.38,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641207600,68,1.83,96,0,0.97,12.23,11.28,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641294000,66,2.7,93,0.47,1.04,15.16,14.45,0.34
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641380400,100,3.53,100,1,0.29,5.38,3.55,15.38
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641466800,86,2.48,47,0.54,1.05,2.5,0.37,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641553200,87,1.67,100,0,2,4.33,4.33,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641639600,93,2.18,90,0.38,2,3.49,1.42,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641726000,100,2.85,99,1,2,4.04,2.09,0.14
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641207600,65,2.04,95,0,0.98,11.23,10.11,0
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641294000,63,5.54,100,0.92,0.95,12.79,11.77,1.22
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641380400,95,7.13,100,1,0.64,3.6,-1.02,4.87
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641466800,64,6.51,73,0.37,1.07,5.14,1.06,0
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641553200,58,1.06,100,0.47,2,4.05,4.05,0
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641639600,74,3.19,91,1,2,5.48,4.37,0.65
281934488,2022-01-02,45.7578137,4.8320114,Lyon,1641726000,74,5.42,91,1,2,6.49,3.04,13.37
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641207600,45,4.14,82,0,1.12,11.68,10.08,0
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641294000,48,3.14,23,0.21,1.32,12.6,11.17,0
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641380400,80,5.63,92,0.99,0.97,4.35,0.23,2.11
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641466800,61,2.48,46,0.52,1.14,5.89,5.89,0
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641553200,48,2.15,2,0,2,6.73,5.3,0
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641639600,51,2.21,8,0,2,5.58,4.55,0
77029462,2022-01-02,43.7496562,6.3285616,Gorges du Verdon,1641726000,68,8.93,70,0.66,2,3.75,-1.75,0.73
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641207600,53,6.31,99,0,1.17,15.26,14.23,0
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641294000,72,4.16,25,0.33,1.35,14.34,13.71,0.34
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641380400,66,14.04,52,0.57,0.99,10.7,9.55,1.16
